"","INSTNM_ZIP","AVG(ADM_RATE_ALL)","AVG(SAT_AVG_ALL)","AVG(COSTT4_A)","AVG(C150_4)","AVG(PCTFLOAN)","AVG(UG25abv)","AVG(PAR_ED_N)","AVG(PAR_ED_PCT_1STGEN)","AVG(PCTPELL)","AVG(DEBT_MDN)","AVG(gt_25k_p6)","AVG(NONCOM_RPY_5YR_RT)","AVG(UGDS)","AVG(female)","AVG(married)","AVG(dependent)","AVG(veteran)","AVG(first_gen)","AVG(md_faminc)","AVG(pct_ba)","AVG(pct_grad_prof)","AVG(pct_born_us)","AVG(median_hh_inc)","AVG(poverty_rate)","AVG(unemp_rate)","AVG(loan_ever)"
"33","albertson college of idaho-83605-443",0.8176,1113,28670.9630987533,0.5615,0.587502629787908,0.250195175645098,333,0.312312312,0.353911819782575,13625,0.644408797758188,0.330504575067643,777,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"34","albertson college of idaho-83605-4432",0.772575,1119.5,28670.9630987533,0.545,0.587502629787908,0.0477,369,0.33065687525,0.353911819782575,12725.5,0.653666287660595,0.330504575067643,734.75,0.59999999403953,0.04999999888241,0.905000001192085,0.00999999977648,0.325000002980225,67485,15.5850000381469,7.19500017166137,92.314998626709,57180.42,7.90499997138977,3.62999999523162,0.954999983310695
"35","albertson college of idaho-836054432",0.9762,1125,28670.9630987533,0.5068,0.587502629787908,0.0398,370,0.294594595,0.353911819782575,11000,0.644408797758188,0.330504575067643,778,0.56000000238418,0.03999999910593,0.91000002622604,0.00999999977648,0.28999999165534,71049,16.0900001525878,7.51000022888183,92.4100036621093,57291.26,7.76000022888183,3.55999994277954,0.95999997854232
"36","albertus magnus college-06511-118",0.846,1010,28670.9630987533,0.4557,0.587502629787908,0.250195175645098,813,0.541205412,0.353911819782575,17125,0.644408797758188,0.330504575067643,1901,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"37","albertus magnus college-06511-1189",0.8389,904.909090909091,38099.8,0.538345454545455,0.78046,0.6282,766.181818181818,0.505301759818182,0.406916666666667,21078.7727272727,0.794677603244774,0.736740921317333,1626.90909090909,0.73500001430511,0.249999992549415,0.31000000238418,0.0249999994412,0.52500000596046,50187.75,14.7350001335143,11.7149996757507,85.3600006103515,66395.1,8.51000022888183,4.18500018119811,0.98000001907348
"38","albertus magnus college-65111189",0.9669,1010,28670.9630987533,0.5063,0.587502629787908,0.7313,567.8,0.5202258742,0.353911819782575,14202.8,0.644408797758188,0.330504575067643,1481.4,0.71333334843317,0.27333334088325,0.293333331743867,0.0299999993294433,0.523333330949147,52283.8333333333,16.0533332824707,12.579999923706,85.5066655476888,70409.1066666667,7.46666669845581,3.95666662851969,0.98000001907348
"39","albion college-49224",0.778823076923077,1149.38461538462,41945.2,0.706576470588235,0.58398,0.0081,617.882352941176,0.234346817352941,0.211283333333333,16210.7647058824,0.709481084346766,0.275641025641,1628.11764705882,0.545999991893764,0.003999999910592,0.986000013351436,0,0.237999999523158,86674.6,16.3419998168945,10.0020000457763,94.5279983520507,71310.21,5.46800003051757,3.05999994277954,0.982000017166132
"40","albright college-19604",0.679395816368601,1047.4372451298,28670.9630987533,0.6305,0.587502629787908,0.250195175645098,922,0.489154013,0.353911819782575,14375,0.644408797758188,0.330504575067643,3857.35049110392,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"41","albright college-19612-523",0.7203,1025,28670.9630987533,0.5775,0.587502629787908,0.250195175645098,1114,0.442549372,0.353911819782575,17125,0.644408797758188,0.330504575067643,2124,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"42","albright college-19612-5234",0.583109090909091,1026.55555555556,43738.4,0.602018181818182,0.78144,0.243083333333333,1165.81818181818,0.442669835181818,0.327216666666667,19351.2727272727,0.7771845459938,0.571379554997333,2178.27272727273,0.594999998807905,0.15500000119209,0.69999998807907,0.034999999217685,0.43999999761581,68287.5,15.3099999427795,8.80000019073486,91.9900016784668,68875.535,6.10999989509582,3.03499996662139,0.97500002384185
"43","albright college-196125234",0.7056,1011,28670.9630987533,0.648525,0.587502629787908,0.192233333333333,796.25,0.45527464925,0.353911819782575,14732.875,0.644408797758188,0.330504575067643,1399.4,0.576666673024487,0.136666670441623,0.74333333969116,0.03333333258827,0.459999998410537,68405.6666666667,14.5633331934611,8.05000003178914,92.5966669718425,65718.42,6.35999997456868,2.94666663805643,0.98666667938232
"44","alcorn state university-39096",0.679395816368601,1047.4372451298,28670.9630987533,0.3337,0.587502629787908,0.1034,1136,0.327464789,0.353911819782575,6594,0.644408797758188,0.330504575067643,2627.5,0.62000000476837,0.05000000074505,0.83999997377395,0.00999999977648,0.33000001311302,22063,10.5,5.65999984741211,96.8600006103515,39192.39,21.75,5.51999998092651,0.88999998569488
"45","alcorn state university-39096-750",0.3515,870,28670.9630987533,0.4299,0.587502629787908,0.250195175645098,1405,0.372953737,0.353911819782575,12000,0.644408797758188,0.330504575067643,2832,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
