UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
107080,206525,233301,170532,239017,162654,170301,143084,222983,237057,145646,218973,196866,212577,212009,212674
107141,181127,152567,173452,176947,207403,152363,217907,140234,206835,219790,440411,202514,146825,154749,150677
107512,150455,154527,156295,216278,179946,153108,210669,233611,206589,150756,150400,239628,209065,230816,168591
107558,231420,178369,237358,172440,153621,16947915,16947912,16947907,153250,155511,200156,16947910,16947904,16947909,16947905
107600,217721,101912,234164,199582,176406,218399,140720,101073,199643,218919,232265,132602,101675,102377,206491
107877,171599,232089,198808,175430,155937,139205,143288,194392,155973,239071,177144,156189,226587,182634,225548
107983,221768,171456,115755,175078,200253,207865,232566,188304,178615,126182,187967,159416,155025,156541,178624
108092,220075,180489,142276,106458,179557,106704,157951,160612,159717,159966,149222,237525,127556,238032,138354
108232,458496,208239,234492,148177,458982,468015,450094,441973,145460,117928,126702,210942,222938,134811,449010
108269,369659,110307,209296,123095,220996,459745,480198,240213,21036801,23384201,15483701,21036802,143978,445735,459824
108861,14736902,14736901,169099,120795,219240,233842,165705,176451,21997601,112127,190080,16822701,16822702,16822703,459736
108870,366368,202170,166984,143048,110370,214971,112570,163295,169442,202046,449764,235024,164748,177746,392840
109651,140951,217493,120403,430810,169424,230807,136774,168421,111948,232706,169442,117168,169080,217402,153269
109785,191649,186584,110097,188429,145619,216852,149514,117140,213011,195720,121150,178059,238430,132471,131113
110060,243498,176600,150288,227289,127273,173896,157298,160029,210368,131973,224305,223001,196884,146977,150215
110097,186584,195720,191649,216852,188429,109785,121150,145619,149514,213011,132471,178059,117140,209612,236230
110185,451796,188146,138813,445124,432533,377546,208239,428286,197151,145460,367194,136774,455178,167321,142887
110307,209296,240213,369659,459745,21036802,21036801,15483701,23384201,108269,220996,143978,123095,480198,445735,142832
110316,13247101,157757,144740,195809,231651,120883,122612,194310,131159,239105,174914,122436,193654,207971,147536
110361,11917301,208488,168005,151263,211583,207458,148487,215442,173665,213367,179043,206622,137847,192925,121309
110370,194578,108870,366368,143048,214971,166984,163295,164748,192712,202046,202170,167057,164933,123952,215105
110398,190682,189501,207315,196228,228909,110699,123970,193821,229300,196255,416801,111391,159373,146241,181428
110404,166683,195030,217156,198419,130794,166027,211440,227757,186131,110635,243744,147767,190415,182670,162928
110413,111948,143358,166452,129525,122931,235316,217235,129428,224323,154235,183026,112075,153269,167899,222178
110422,163851,162584,228459,211361,231624,232423,232681,110644,199218,163912,197869,139861,164076,191968,183044
110468,13247101,122436,207971,120883,195809,194310,144740,228875,131159,239105,231651,193654,122612,110316,174914
110486,110556,110608,185129,190637,190567,190600,110592,122597,110583,196130,190664,136172,190558,190594,147776
110495,228459,162584,110556,110486,110608,211361,110422,190567,163851,227368,190600,110547,228501,185129,190637
110510,130493,179566,142115,148654,10236803,10236801,221740,171146,139366,217864,199218,138789,226152,219602,110574
110529,110565,123572,433660,187444,140164,217420,185262,167729,185590,214607,128771,184782,196176,149231,206941
110538,237011,233277,173920,174783,164076,154095,211158,171137,240365,225502,232423,106704,240329,212115,161554
110547,227368,225502,110538,228802,171137,110486,160612,106704,106458,110608,174783,110556,212115,157951,218964
110556,110608,110486,190567,190600,185129,190637,122597,110583,110592,190664,190594,196130,136172,190549,126580
110565,123572,110529,185590,225414,185262,184782,140164,433660,214607,128771,170082,187444,196176,216764,167729
110574,110510,130493,142115,148654,138789,221740,10236803,10236801,179566,110617,122755,171146,139366,100830,219602
110583,122597,190594,190664,196130,136172,190549,190512,110592,126580,110608,110556,122755,161873,147776,190567
110592,122597,110583,190558,190664,190594,147776,110486,110617,110556,110608,196130,122755,190549,136172,151102
110608,110556,110486,190567,190600,190637,185129,122597,110583,110592,190664,190594,196130,136172,190549,126580
110617,122755,110592,122597,190664,190558,190594,110583,196130,151102,136172,126580,147776,190549,166638,110574
110635,110653,170976,134130,139959,134097,240444,218663,234030,209551,221759,178396,126818,104151,100663,100706
110644,110680,110705,110653,110662,110635,236948,110714,228778,186380,129020,163286,199120,196097,134130,234076
110653,110635,134130,170976,134097,139959,234030,209551,240444,218663,104151,126818,178396,221759,100663,230764
110662,110680,236948,228778,204796,174066,137351,145600,139755,199193,215293,104179,225511,139940,181464,157085
110671,225511,104179,110680,145600,137351,139940,228778,236948,215293,110662,174066,181464,204796,199193,157085
110680,110662,228778,236948,174066,145600,204796,139755,137351,225511,199193,215293,104179,139940,110671,181464
110699,163259,229300,209490,159373,228644,228909,181428,207315,196255,228635,207342,223223,218335,435000,228653
110705,207500,243780,110680,110662,110644,228778,134130,199120,110714,236948,129020,110635,110653,196079,234076
110714,186380,196060,214777,23693903,23693901,228723,153658,209542,126614,171100,199120,233921,106397,153603,155317
110778,166717,169220,146533,167181,152798,174507,231837,188526,143978,433165,21036802,21036801,23384201,15483701,142832
